waterbody,year,mon,gear,species,len,weight,sex,age,age_strux,lennote
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,84,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,102,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,76,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,94,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,74,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,69,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Yellow Perch,69,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,203,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,147,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,249,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,224,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,206,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,188,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,269,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,119,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,224,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,231,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,140,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,152,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,267,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,White Crappie,251,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Warmouth,140,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Warmouth,114,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,221,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,589,NA,F,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,518,NA,F,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,442,NA,M,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,556,NA,F,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,508,NA,F,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,511,NA,F,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,500,NA,M,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,437,NA,M,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,460,NA,M,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,516,NA,F,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,422,NA,M,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,394,NA,U,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,257,NA,,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,419,NA,M,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,333,NA,M,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,203,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,213,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,635,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,577,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,632,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,424,NA,M,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,447,NA,M,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,386,NA,M,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,572,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,246,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,168,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,234,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,335,NA,,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,206,NA,,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,284,NA,,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,625,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,198,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,498,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,572,NA,F,NA,,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,307,NA,U,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,FYKE NET,Walleye,391,NA,M,NA,SPINE,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,262,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,429,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,391,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,297,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,173,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,594,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,173,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,188,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,173,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,208,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,201,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,191,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,165,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,191,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,198,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,193,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,191,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,196,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,218,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,264,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,193,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,196,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,229,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,211,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,224,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,180,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,175,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,203,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,185,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,157,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,183,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,185,NA,,NA,,Observed length
BLACK DAN LAKE,2013,May,BOOM SHOCKER,Walleye,239,NA,,NA,,Observed length
